Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.36     0.00      947     0.00     0.00  std::_Head_base<2ul, int, false>::_Head_base<int&>(int&)
  0.00      5.36     0.00      943     0.00     0.00  std::_Tuple_impl<2ul, int, int>::_Tuple_impl<int&, int, void>(int&, int&&)
  0.00      5.36     0.00      940     0.00     0.00  std::_Tuple_impl<3ul, int>::_Tuple_impl<int>(int&&)
  0.00      5.36     0.00      930     0.00     0.00  std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_Invoker<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&)
  0.00      5.36     0.00      922     0.00     0.00  std::_Head_base<3ul, int, false>::_Head_base<int>(int&&)
  0.00      5.36     0.00      884     0.00     0.00  std::thread::thread<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&)
  0.00      5.36     0.00      880     0.00     0.00  std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_Invoker<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&)
  0.00      5.36     0.00      865     0.00     0.00  std::_Tuple_impl<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, void>(std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&)
  0.00      5.36     0.00      853     0.00     0.00  std::_Head_base<2ul, int, false>::_Head_base<int>(int&&)
  0.00      5.36     0.00      847     0.00     0.00  std::thread::thread<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&)
  0.00      5.36     0.00      845     0.00     0.00  std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::tuple<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, true, true>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&)
  0.00      5.36     0.00      826     0.00     0.00  std::_Tuple_impl<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, void>(std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&)
  0.00      5.36     0.00      816     0.00     0.00  std::_Tuple_impl<3ul, int>::_Tuple_impl<int&>(int&)
  0.00      5.36     0.00      808     0.00     0.00  std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::tuple<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, true, true>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&)
  0.00      5.36     0.00      799     0.00     0.00  std::_Head_base<3ul, int, false>::_Head_base<int&>(int&)
  0.00      5.36     0.00      795     0.00     0.00  std::_Tuple_impl<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&)
